user_name,machine_name,logon_time,total_sec,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,stage_7
user_134,machine_6,02-08-2020 01:46,18.095,0.033,,0.047,1.553,1.266,2.017,7.486
user_90,machine_22,2/25/2020 21:38,29.221,0.046,13.77,0.047,1.77,1.164,4.22,5.967
user_626,machine_14,03-02-2020 22:21,23.445,0.02,,0.032,1.433,0.25,2.584,7.48
user_576,machine_5,2/25/2020 20:40,35.361,0.033,2.637,0.047,1.797,1.29,13.02,13.733
user_383,machine_5,02-07-2020 02:43,71.288,0.02,,0.031,1.676,0.18,11.503,10.664
user_377,machine_7,02-03-2020 04:04,28.772,0.093,,0.031,1.646,1.087,3.273,6.65
user_338,machine_4,2/27/2020 3:35,41.666,0.033,4.417,0.047,1.82,0.844,13.65,14.52
user_695,machine_21,02-04-2020 16:53,20.959,0.03,,0.032,1.45,0.196,3.66,9.33
user_294,machine_4,02-03-2020 20:34,44.67,0.034,,0.047,2.303,5.41,15.163,14.97
user_114,machine_4,2/21/2020 18:44,55.983,0.05,7.094,0.047,1.534,0.76,30.71,6.497
user_82,machine_22,2/25/2020 15:28,27.466,0.02,,0.031,1.79,0.74,9.64,5.75
user_527,machine_0,2/19/2020 0:41,22.762,0.03,7.164,0.063,1.773,1.073,3.437,5.543
user_5,machine_1,02-07-2020 20:11,29.327,0.033,5.597,0.031,1.923,1.123,8.907,6.93
user_187,machine_2,2/19/2020 16:54,18.851,0.02,3.42,0.032,1.434,0.733,2.12,5.593
user_612,machine_18,2/27/2020 18:31,22.999,0.03,,0.14,1.907,0.244,5.8,10.2
user_620,machine_24,2/26/2020 10:04,24.366,0.063,,0.031,1.7,0.26,3.893,10.827
user_188,machine_1,02-06-2020 14:43,26.232,0.03,9.15,0.047,1.757,0.877,2.61,6.36
user_226,machine_2,2/17/2020 19:47,37.699,0.03,,0.188,1.653,0.337,7.034,11.323
user_359,machine_18,2/20/2020 0:29,25.976,0.03,,0.031,1.696,0.607,3.603,6.73
user_219,machine_21,02-03-2020 07:46,33.637,0.03,11.904,0.047,1.52,0.44,4.303,6.54
user_282,machine_2,02-07-2020 17:03,26.316,0.017,6.443,0.032,1.86,0.894,3.507,6.346
user_390,machine_6,2/28/2020 19:38,26.207,0.033,,0.031,1.71,0.173,10.25,9.853
user_323,machine_6,02-12-2020 01:53,41.359,0.03,,0.063,1.613,1.007,12.406,9.687
user_56,machine_6,2/14/2020 18:01,41.964,0.03,,0.047,2.27,4.14,13.87,20.507
user_316,machine_6,2/13/2020 19:54,50.891,0.03,,0.063,2.633,11.757,6.256,26.634
user_66,machine_5,2/13/2020 2:29,55.32,0.02,,0.031,2.167,1.237,35.2,13.117
user_583,machine_6,2/16/2020 19:42,41.084,0.186,,0.11,1.92,1.84,4.203,17.177
user_560,machine_14,2/19/2020 8:50,34.689,0.033,,0.047,3.777,2.196,5.32,21.84
user_135,machine_4,2/25/2020 21:53,42.416,0.03,6.64,0.046,1.8,5.734,6.45,15.557
user_634,machine_4,2/27/2020 7:56,40.837,0.033,13.397,0.047,1.724,0.237,5.49,12.99
user_542,machine_1,2/19/2020 14:10,60.76,0.02,5.096,0.031,1.603,0.577,37.734,7.003
user_18,machine_2,2/18/2020 18:50,29.934,0.033,7.54,0.031,1.49,0.533,7.763,5.017
user_527,machine_1,2/16/2020 19:15,27.896,0.066,3.277,0.046,1.733,1.574,2.72,10.006
user_32,machine_21,2/17/2020 18:25,20.585,0.017,,0.031,1.79,1.25,4.58,6.766
user_50,machine_5,2/14/2020 6:02,51.919,0.07,,0.062,2.284,3.047,8.61,14.884
user_13,machine_5,02-08-2020 07:22,30.234,0.113,5.847,0.032,1.647,0.19,6.827,10.29
user_359,machine_19,2/22/2020 0:31,35.43,0.033,,0.125,1.67,0.224,10.946,9.91
user_203,machine_21,02-06-2020 15:19,160.441,0.03,,0.032,1.527,0.49,1.554,5.306
user_190,machine_4,03-02-2020 18:35,31.537,0.031,4.117,0.047,1.63,0.43,13.127,6.67
user_220,machine_4,2/27/2020 20:22,18.253,0.063,,0.031,1.703,0.527,7.22,6.004
user_700,machine_8,02-11-2020 22:37,25.454,0.047,4.787,0.047,1.68,0.164,8.09,9.977
user_681,machine_5,2/26/2020 11:15,24.897,0.03,,0.031,1.723,0.27,5.79,12.123
user_425,machine_5,2/21/2020 23:19,19.459,0.02,,0.031,1.734,1.177,4.624,8.693
user_165,machine_22,2/21/2020 21:34,50.933,0.033,,0.031,1.797,0.68,33.903,6.27
user_305,machine_22,2/25/2020 13:18,22.417,0.016,7.027,0.046,2.354,0.966,5.37,6.413
user_681,machine_4,2/26/2020 21:02,30.599,0.03,,0.047,1.897,2.466,9.667,13.917
user_260,machine_4,2/18/2020 2:58,13.122,0.03,,0.047,1.5,0.294,2.193,4.804
user_135,machine_6,2/28/2020 23:48,25.11,0.17,5.357,0.047,1.51,1.216,6.466,6.737
user_298,machine_6,2/15/2020 6:00,58.613,0.033,,0.063,2.59,4.09,18.644,21.206
user_612,machine_17,2/24/2020 23:08,20.149,0.03,,0.047,1.733,0.703,5.673,5.577
user_32,machine_21,2/17/2020 18:05,20.255,0.02,,0.031,1.773,1.037,4.766,6.9
user_143,machine_0,2/19/2020 15:02,23.826,0.064,,0.046,1.494,1.057,7.773,7.287
user_221,machine_5,02-11-2020 07:03,28.645,0.056,2.923,0.079,1.607,1.45,11.777,8.353
user_12,machine_2,02-04-2020 16:39,33.791,0.09,,0.047,1.517,0.786,3.046,6.694
user_52,machine_16,2/13/2020 22:51,23.396,0.05,,0.031,1.697,0.357,7.136,8.964
user_477,machine_9,03-02-2020 20:37,26.807,0.02,3.097,0.031,1.61,0.347,16.043,4.677
user_54,machine_5,2/28/2020 21:01,26.493,0.02,6.43,0.046,1.6,0.187,3.82,10.497
user_548,machine_5,2/19/2020 23:54,36.406,0.078,3.704,0.047,1.637,0.533,18.833,7.803
user_133,machine_4,2/25/2020 19:00,39.327,0.078,3.7,0.047,1.783,0.843,10.15,11.64
user_363,machine_2,02-03-2020 18:49,19.084,0.033,2.933,0.015,1.457,0.793,3.7,5.293
user_434,machine_0,2/18/2020 15:32,25.598,0.07,,0.031,1.95,1.46,8.35,10.633
user_23,machine_1,2/14/2020 14:55,59.814,0.05,4.88,0.031,2.47,2.397,29.39,11.746
user_110,machine_18,2/27/2020 20:08,28.31,0.03,,0.14,1.727,0.233,4.397,11.026
user_518,machine_21,03-02-2020 15:44,18.565,0.033,,0.015,1.724,0.74,5.293,5.703
user_222,machine_2,02-07-2020 20:18,29.162,0.03,5.133,0.031,1.627,0.27,6.826,10.167
user_15,machine_1,02-10-2020 17:09,37.294,0.03,6.91,0.046,1.833,0.96,12.947,8.403
user_11,machine_1,02-07-2020 22:35,30.385,0.063,,0.032,1.73,0.853,5.76,7.02
user_538,machine_3,02-04-2020 13:14,25.963,0.047,4.287,0.031,1.45,0.9,10.23,5.297
user_529,machine_19,2/20/2020 21:21,21.548,0.034,,0.14,1.69,0.433,7.793,5.13
user_141,machine_4,2/24/2020 19:26,40.395,0.09,,0.032,1.593,0.973,22.5,10.03
user_566,machine_14,02-12-2020 08:46,39.047,0.053,,0.032,1.804,1.01,3.65,8.143
user_298,machine_7,02-05-2020 19:02,23.754,0.062,,0.063,1.586,0.183,7.163,10.01
user_528,machine_6,2/28/2020 6:13,30.745,0.236,,0.032,1.53,0.23,19.776,4.96
user_237,machine_24,03-02-2020 07:52,31.552,0.07,10.783,0.031,2.45,0.774,6.003,6.327
user_154,machine_6,02-12-2020 23:21,19.139,0.03,,0.063,1.624,0.186,2.45,10.963
user_440,machine_5,2/23/2020 19:45,20.697,0.033,,0.031,1.58,0.16,4.48,10.424
user_408,machine_4,2/18/2020 5:28,21.044,0.046,,0.125,1.494,0.154,4.277,9.63
user_479,machine_1,2/23/2020 16:05,35.39,0.054,,0.031,2.167,2.083,11.577,14.43
user_408,machine_5,02-11-2020 19:21,21.47,0.017,,0.015,1.62,0.19,2.454,11.116
user_398,machine_14,2/19/2020 21:43,23.931,0.033,,0.141,1.52,0.943,3.66,7.39
user_13,machine_4,2/19/2020 22:42,32.062,0.017,6.666,0.031,1.667,1.48,8.427,7.803
user_178,machine_1,02-10-2020 19:15,34.558,0.03,8.423,0.047,1.82,1.164,3.507,11.713
user_624,machine_8,02-06-2020 08:23,25.658,0.054,,0.047,1.574,0.734,2.123,6.103
user_652,machine_8,2/13/2020 2:27,20.025,0.078,2.35,0.047,,0.257,0.19,7.653
user_110,machine_19,2/13/2020 19:33,36.023,0.03,,0.032,1.72,0.663,3.57,6.504
user_611,machine_18,2/25/2020 15:04,48.924,0.03,3.797,0.14,3.19,1.193,3.237,10.43
user_290,machine_6,2/28/2020 12:59,17.154,0.03,,0.156,1.62,0.483,5.813,5.313
user_214,machine_4,2/19/2020 22:28,16.77,0.064,,0.031,1.527,1.24,2.936,7.497
user_606,machine_17,02-06-2020 14:19,18.062,0.033,,0.031,1.497,0.53,6.217,5.143
user_390,machine_8,02-12-2020 23:10,47.387,0.046,,0.047,1.79,0.176,8.947,10.55
user_563,machine_23,2/17/2020 12:56,57.273,0.03,,0.046,1.723,0.72,26.34,12.2
user_323,machine_4,2/19/2020 23:10,53.953,0.03,3.217,0.031,1.694,1.257,10.433,7.387
user_136,machine_14,02-03-2020 20:57,24.966,0.03,,0.172,1.973,0.274,6.866,8.837
user_349,machine_7,03-01-2020 19:28,20.628,0.02,,0.031,1.44,1.11,7.68,6.817
user_96,machine_23,2/26/2020 12:25,46.513,0.016,5.336,0.125,1.73,1.123,6.343,5.993
user_496,machine_24,2/20/2020 18:59,19.871,0.034,,0.031,1.69,0.456,2.173,5.077
user_139,machine_4,2/23/2020 23:20,16.742,0.053,,0.047,1.537,1.15,2.297,7.416
user_0,machine_7,2/28/2020 1:51,15.957,0.047,,0.031,1.5,0.52,2.593,5.527
user_485,machine_5,2/22/2020 3:29,33.018,0.073,,0.032,1.643,1.03,18.364,8.043
user_679,machine_5,2/19/2020 22:05,68.792,0.03,3.106,0.047,1.776,0.927,50.95,7.29
user_233,machine_5,02-09-2020 22:26,17.606,0.07,,0.047,1.59,0.764,4.183,6.823
user_158,machine_8,2/14/2020 18:31,32.69,0.03,,0.047,1.963,1.157,16.29,8.073
user_331,machine_6,02-10-2020 19:54,34.698,0.03,6.547,0.062,1.756,2.457,13.646,7.64
user_43,machine_5,02-12-2020 14:40,40.652,0.066,10.627,0.031,1.64,0.21,6.01,12.007
user_169,machine_15,03-02-2020 23:53,28.545,0.045,4.357,0.047,1.493,0.83,2.476,9.257
user_300,machine_4,2/24/2020 20:41,37.871,0.06,,0.031,1.586,0.193,20.226,11.607
user_83,machine_2,03-02-2020 14:40,17.578,0.06,,0.032,1.45,1.246,3.85,7.173
user_154,machine_6,2/29/2020 2:55,16.353,0.02,,0.141,1.567,1.284,2.297,7.923
user_317,machine_2,2/22/2020 3:30,19.409,0.033,,0.156,1.46,0.537,7.257,4.58
user_27,machine_7,02-07-2020 23:49,23.513,0.033,,0.047,1.813,0.853,6.367,6.6
user_306,machine_4,2/19/2020 22:35,35.353,0.046,5.96,0.032,1.67,1.264,4.14,8.43
user_57,machine_4,2/26/2020 1:14,33.89,0.02,,0.063,1.814,3.976,9.747,13.726
user_328,machine_13,03-02-2020 18:18,22.456,0.033,,0.156,1.627,0.224,9.657,5.233
user_345,machine_5,2/19/2020 20:43,33.69,0.034,10.787,0.047,1.77,1.59,6.846,8.497
user_478,machine_5,2/26/2020 0:30,30.228,0.034,1.613,0.063,1.807,1.5,8.114,12.73
user_323,machine_5,02-10-2020 20:15,47.241,0.03,,0.015,1.71,0.18,13.233,10.86
user_671,machine_5,02-12-2020 01:46,25.583,0.033,,0.016,1.703,0.28,8.756,10.977
user_91,machine_18,2/26/2020 23:18,20.932,0.06,,0.047,1.756,0.596,2.1,5.617
user_188,machine_3,02-04-2020 00:48,28.78,0.03,12.63,0.031,1.487,1.517,2.107,5.72
user_245,machine_2,2/25/2020 16:15,17.504,0.03,,0.047,1.51,0.727,2.91,5.123
user_119,machine_21,2/27/2020 9:20,18.184,0.034,,0.063,1.743,0.95,3.07,4.82
user_624,machine_5,03-01-2020 06:11,16.75,0.076,,0.031,1.576,0.867,2.093,6.754
user_181,machine_4,2/24/2020 19:51,30.363,0.03,,0.047,1.633,1.59,11.206,9.244
user_183,machine_5,2/18/2020 20:05,31.64,0.02,7.823,0.047,1.523,0.887,6.943,5.934
user_298,machine_5,2/19/2020 20:58,27.168,0.093,,0.047,1.807,0.634,9.764,8.306
user_401,machine_6,02-08-2020 01:51,35.921,0.034,5.867,0.062,1.72,0.183,13.39,10.6
user_647,machine_18,03-02-2020 16:02,45.441,0.174,,0.125,1.847,0.223,15.98,11.423
user_266,machine_7,2/28/2020 0:10,24.506,0.123,4.583,0.031,1.526,0.223,2.28,5.25
user_32,machine_17,2/27/2020 14:47,17.888,0.03,,0.047,1.67,0.57,4.347,5.483
user_17,machine_19,2/18/2020 16:57,21.391,0.03,,0.031,1.667,0.216,3.353,10.22
user_485,machine_5,2/27/2020 23:53,38.516,0.03,,0.047,1.847,1.3,24.233,7.764
user_538,machine_0,2/24/2020 19:57,27.916,0.033,5.364,0.046,1.727,0.963,10.197,5.63
user_298,machine_7,2/28/2020 19:17,30.735,0.03,,0.046,1.523,0.793,12.026,5.77
user_403,machine_6,03-02-2020 07:29,18.43,0.02,,0.047,1.547,0.56,5.827,6.106
user_253,machine_2,02-07-2020 16:23,35.221,0.053,7.977,0.032,1.68,0.23,4.33,11.097
user_681,machine_5,02-04-2020 01:23,22.966,0.03,,0.016,1.536,0.513,6.433,5.167
user_424,machine_2,2/28/2020 2:39,21.89,0.033,5.093,0.157,1.377,0.177,3.62,5.88
user_485,machine_5,2/26/2020 4:55,37.627,0.034,,0.031,1.64,1.873,17.69,11.473
user_569,machine_18,02-05-2020 15:55,45.988,0.02,7.673,0.031,1.46,0.494,2.993,7.2
user_686,machine_5,03-02-2020 12:20,22.016,0.033,,0.047,2.224,2.943,5.017,11.357
user_460,machine_19,2/16/2020 12:48,34.738,0.407,5.193,0.047,1.66,0.356,4.14,11.81
user_419,machine_5,2/22/2020 0:54,43.802,0.064,5.254,0.031,2.05,1.64,2.616,12.997
user_528,machine_4,2/27/2020 8:35,170.528,0.067,,0.047,1.683,2.737,21.346,11.164
user_161,machine_1,2/20/2020 18:31,28.841,0.033,4.086,0.031,1.91,0.47,3.087,5.087
user_253,machine_2,02-11-2020 20:25,28.97,0.033,3,0.046,1.713,0.88,9.094,6.64
user_138,machine_0,02-05-2020 01:41,31.352,0.017,,0.031,1.517,1.483,10.47,6.31
user_441,machine_5,2/15/2020 2:05,30.601,0.033,,0.031,2.137,4.323,3.913,18.91
user_485,machine_4,02-03-2020 22:42,39.179,0.017,,0.031,1.787,0.797,21.96,6.216
user_675,machine_4,2/22/2020 0:50,27.524,0.067,5.866,0.031,1.58,1.553,3.01,8.363
user_62,machine_5,2/18/2020 13:21,43.551,0.083,6.587,0.047,1.526,0.32,24.266,5.06
user_612,machine_17,2/28/2020 17:17,19.605,0.017,,0.156,1.744,0.737,6.837,5.29
user_708,machine_0,03-02-2020 15:19,52.188,0.03,7.573,0.031,1.493,0.894,28.51,6.086
user_602,machine_5,02-10-2020 19:20,52.964,0.017,6.783,0.016,1.534,0.184,28.42,10.893
user_603,machine_21,2/24/2020 10:06,15.423,0.033,,0.031,1.717,0.734,1.677,5.416
user_576,machine_7,2/28/2020 20:25,32.603,0.03,4.06,0.032,1.573,0.184,12.803,10.183
user_585,machine_14,02-06-2020 11:10,23.943,0.03,,0.032,1.673,0.387,2.89,9.87
user_410,machine_2,2/21/2020 22:33,15.012,0.033,,0.031,1.45,0.484,2.617,5.053
user_441,machine_4,2/19/2020 20:35,23.749,0.031,,0.031,1.56,1.64,6.09,7.25
user_190,machine_4,2/27/2020 2:52,30.58,0.03,3.19,0.047,1.807,0.25,6.69,13.793
user_406,machine_7,02-07-2020 03:04,27.522,0.031,4.8,0.047,1.754,0.94,8.927,6.07
user_242,machine_0,2/24/2020 22:17,20.539,0.017,,0.031,1.497,0.607,7.184,5.386
user_228,machine_5,2/21/2020 17:59,15.631,0.017,,0.031,1.527,0.546,2.81,6.283
user_679,machine_4,2/17/2020 22:01,16.782,0.03,,0.047,,0.243,0.24,8.607
user_91,machine_19,02-05-2020 12:41,36.987,0.057,21.297,0.031,1.5,1.163,1.81,6.61
user_46,machine_5,2/20/2020 1:46,30.924,0.03,5.823,0.031,1.396,1.434,11.38,7.92
user_417,machine_6,02-04-2020 04:05,22.756,0.033,4.84,0.031,1.46,0.5,3.263,5.06
user_312,machine_4,02-10-2020 23:31,19.557,0.078,,0.063,1.883,0.624,5.566,7.047
user_646,machine_23,2/17/2020 15:18,33.592,0.057,4.973,0.032,1.654,0.213,5.687,9.977
user_653,machine_2,2/19/2020 17:13,14.018,0.057,,0.031,1.463,0.77,2.647,5.396
user_34,machine_17,02-07-2020 09:48,26.852,0.06,,0.032,1.457,0.65,2.267,7.3
user_593,machine_5,2/25/2020 18:36,33.204,0.033,3.52,0.047,1.6,0.193,1.107,13.18
user_630,machine_24,02-11-2020 13:01,48.447,0.02,,0.031,1.733,0.713,3.31,9.187
user_528,machine_4,2/18/2020 3:10,40.996,0.033,,0.031,1.506,0.22,18.51,6.547
user_487,machine_5,2/22/2020 20:31,72.31,0.067,10.104,0.047,1.577,1.763,13.387,7.76
user_295,machine_19,2/27/2020 22:59,41.576,0.046,9.19,0.156,1.64,0.47,1.884,6.523
user_303,machine_7,2/29/2020 1:29,15.592,0.02,,0.031,1.544,1.15,2.793,6.533
user_697,machine_1,2/14/2020 16:12,34.912,0.05,4.467,0.031,1.786,0.25,3.857,12.853
user_471,machine_18,02-07-2020 06:51,21.773,0.03,5.203,0.14,1.556,0.654,3.08,5.32
user_130,machine_5,2/27/2020 19:37,30.348,0.03,,0.031,1.606,0.173,14.91,9.807
user_349,machine_4,2/19/2020 6:32,20.465,0.03,,0.047,1.587,0.65,7.717,5.987
user_8,machine_17,2/25/2020 16:05,16.921,0.033,,0.031,1.693,0.83,2.01,5.536
user_621,machine_6,02-04-2020 22:03,21.821,0.037,4.67,0.062,1.624,0.397,4.467,5.92
user_576,machine_8,02-03-2020 20:34,47.805,0.017,4.36,0.141,1.843,0.433,20.89,14.08
user_647,machine_17,2/17/2020 12:12,39.872,0.08,,0.031,1.797,1.624,16.073,8.357
user_25,machine_0,2/13/2020 13:16,38.27,0.034,,0.031,1.85,0.413,12.887,12.813
user_305,machine_22,03-02-2020 10:12,23.923,0.034,6.317,0.031,1.683,0.703,7.33,5.844
user_647,machine_19,2/20/2020 14:07,42.235,0.05,,0.032,1.77,0.24,15.576,12.1
user_298,machine_6,2/17/2020 14:24,45.482,0.033,,0.063,2.204,1.137,16.867,19.973
user_293,machine_7,02-03-2020 23:50,26.397,0.046,,0.047,1.796,0.39,12.573,5.59
user_687,machine_23,2/13/2020 10:53,21.529,0.03,,0.062,1.674,0.853,3.067,8.583
user_342,machine_5,2/19/2020 20:22,108.801,0.017,,0.047,1.85,0.717,41.26,7.173
user_475,machine_16,02-09-2020 20:08,26.617,0.033,,0.156,1.68,0.434,3.8,9.547
user_694,machine_17,2/21/2020 12:35,32.581,0.034,6.593,0.047,1.733,0.224,4.203,10.154
user_453,machine_4,2/27/2020 0:09,45.453,0.03,,0.047,1.713,0.367,1.937,13.876
user_631,machine_17,2/21/2020 21:25,14.978,0.036,,0.031,1.757,0.644,2.014,5.566
user_478,machine_5,2/27/2020 20:55,22.572,0.046,2.004,0.032,1.673,0.853,7.923,6.66
user_547,machine_4,2/13/2020 21:34,20.51,0.031,3.316,0.047,,0.246,0.324,8.693
user_329,machine_5,02-07-2020 03:24,29.669,0.063,9.284,0.047,1.614,0.59,5.043,6.95
user_195,machine_4,2/19/2020 7:59,366.978,0.074,,0.063,1.723,1.58,21.807,8.583
user_183,machine_6,2/14/2020 20:08,46.747,0.033,7.696,0.063,2.577,1.194,9.29,22.397
user_476,machine_2,2/24/2020 15:04,26.188,0.03,8.23,0.031,1.446,0.476,5.19,8.464
user_32,machine_21,2/17/2020 17:35,20.128,0.033,,0.031,1.774,2.814,4.85,6.736
user_569,machine_18,02-05-2020 20:09,93.137,0.07,37.886,0.031,1.423,0.57,3.317,5.3
user_374,machine_5,2/22/2020 18:28,18.484,0.02,,0.047,1.487,1.076,5.794,7.473
user_205,machine_6,2/14/2020 1:01,78.267,0.03,,0.062,4.753,7.894,5.877,37.71
user_592,machine_7,02-07-2020 21:58,35.561,0.05,7.406,0.062,1.816,0.69,14.103,6.304
user_206,machine_24,02-04-2020 10:15,19.495,0.067,,0.016,1.55,0.177,3.39,9.61
user_51,machine_22,2/28/2020 10:31,30.325,0.114,,0.032,2.11,0.69,3.303,12.543
user_164,machine_16,02-06-2020 00:01,25.792,0.046,,0.031,1.766,0.79,3.913,6.417
user_316,machine_6,02-12-2020 03:41,28.579,0.057,,0.031,1.79,0.723,4.126,13.6
user_647,machine_22,02-03-2020 14:51,73.597,0.033,,0.031,1.5,0.18,13.433,10.89
user_17,machine_19,02-07-2020 11:11,15.794,0.15,,0.031,1.443,0.457,3.393,5.03
user_450,machine_13,03-02-2020 19:03,48.374,0.033,5.463,0.156,1.763,0.187,29.234,5.11
user_390,machine_7,02-03-2020 22:01,36.198,0.046,,0.046,,0.19,0.267,8.307
user_538,machine_2,02-07-2020 13:59,34.867,0.06,5.443,0.031,1.613,0.816,12.297,7.436
user_468,machine_7,02-03-2020 21:31,22.521,0.05,5.503,0.047,1.927,0.663,3.366,7.284
user_385,machine_18,02-05-2020 08:34,75.876,0.03,14.59,0.047,1.513,0.364,3.547,4.82
user_307,machine_0,03-02-2020 16:10,30.077,0.054,8.064,0.031,1.537,0.277,4.053,10.153
user_341,machine_0,02-10-2020 21:12,21.18,0.016,,0.047,1.816,1.154,5.18,7.47
user_417,machine_8,02-06-2020 19:49,14.373,0.046,4.727,0.031,,0.2,0.227,3.283
user_129,machine_5,2/28/2020 7:38,18.086,0.017,,0.047,1.534,0.183,2.2,9.753
user_417,machine_6,02-04-2020 03:45,24.571,0.11,4.503,0.031,1.49,0.17,3.907,9.77
user_336,machine_4,2/19/2020 22:54,24.394,0.03,4.09,0.031,1.524,0.91,4.303,6.957
user_145,machine_5,02-03-2020 19:34,33.405,0.03,5.71,0.032,1.6,1.773,4.86,9.407
user_141,machine_5,2/14/2020 19:54,70.094,0.017,,0.031,2.3,2.857,40.597,18.51
user_568,machine_21,2/27/2020 12:12,20.727,0.034,,0.032,1.747,0.373,2.227,10.767
user_43,machine_6,2/13/2020 12:45,43.913,0.047,5.774,0.062,2.493,1.986,8.31,20.543
user_576,machine_4,2/26/2020 20:59,37.343,0.057,4.003,0.031,1.73,3.994,12.974,13.486
user_659,machine_5,2/26/2020 18:59,71.359,0.03,,0.047,1.437,2.17,42.76,13.296
user_558,machine_5,2/14/2020 3:06,50.554,0.033,5.117,0.047,2.59,2.933,15.163,21.597
user_15,machine_1,02-03-2020 19:27,48.038,0.03,13.673,0.046,1.494,0.7,9.2,10.25
user_421,machine_5,2/18/2020 23:44,21.287,0.033,,0.063,1.9,0.816,4.303,10.247
user_363,machine_2,02-03-2020 18:24,27.731,0.017,3.84,0.047,1.5,0.446,5.81,11.047
user_370,machine_24,03-02-2020 06:55,23.477,0.02,,0.031,1.776,0.29,4.81,7.317
user_659,machine_5,02-05-2020 18:46,48.346,0.07,,0.047,1.57,0.193,29.24,10.02
user_72,machine_1,03-02-2020 02:50,30.184,0.38,,0.031,1.483,0.783,9.193,5.414
user_417,machine_6,02-11-2020 07:28,38.238,0.033,4.766,0.031,1.647,1.68,18.604,7.893
user_330,machine_1,2/25/2020 14:57,30.477,0.033,3.33,0.031,1.53,1.313,2.607,5.61
user_558,machine_4,2/25/2020 1:06,30.075,0.02,,0.031,1.643,0.9,8.837,11.433
user_569,machine_18,02-05-2020 17:40,49.001,0.03,4.034,0.125,1.443,0.174,3.227,9.6
user_576,machine_7,02-04-2020 21:44,31.412,0.046,3.02,0.047,1.746,0.653,14.923,6.227
user_9,machine_1,02-10-2020 04:41,68.826,0.063,,0.031,1.673,0.197,3.31,11.694
user_183,machine_5,2/19/2020 19:57,27.569,0.077,8.373,0.047,1.6,0.943,5.647,7.566
user_620,machine_24,2/24/2020 8:10,26.526,0.046,,0.032,1.703,0.273,3.953,10.58
user_478,machine_6,02-11-2020 19:54,28.959,0.03,2.487,0.047,1.577,0.186,9.884,10.68
user_306,machine_5,02-12-2020 03:14,27.505,0.02,5.564,0.031,1.75,1.393,6.613,9.037
user_186,machine_5,2/20/2020 22:48,46.083,0.02,,0.047,1.94,1.31,27.357,9.473
user_553,machine_19,02-05-2020 17:08,43.198,0.03,,0.031,1.403,0.357,2.557,5.086
user_357,machine_2,2/17/2020 21:06,19.855,0.03,,0.031,1.68,1.86,4.62,7.827
user_204,machine_18,02-11-2020 19:39,36.389,0.033,,0.046,1.814,0.313,2.267,10.66
user_182,machine_5,02-06-2020 08:01,26.055,0.02,,0.031,1.644,0.597,6.627,11.677
user_149,machine_18,02-12-2020 22:09,52.506,0.017,21.94,0.047,1.834,1.17,6.264,8.543
user_603,machine_24,2/26/2020 10:34,21.937,0.06,,0.031,1.727,0.22,1.676,10.21
user_114,machine_4,2/27/2020 7:58,84.205,0.033,18.007,0.031,1.703,2.343,35.936,12.707
user_41,machine_1,2/24/2020 21:53,15.963,0.057,,0.046,1.63,0.973,1.766,5.357
user_628,machine_16,02-03-2020 01:42,20.385,0.066,,0.032,2.137,0.4,4.137,7.407
user_373,machine_5,2/21/2020 20:46,27.109,0.033,3.427,0.031,1.687,1.353,9.27,8.203
user_509,machine_18,02-04-2020 22:58,66.947,0.017,,0.031,1.47,0.286,1.773,30.643
user_524,machine_5,2/26/2020 0:06,27.931,0.067,,0.047,2,1.073,3.24,13.937
user_377,machine_5,2/26/2020 8:58,32.226,0.02,9.083,0.046,1.643,0.56,3.773,11.837
user_542,machine_2,2/18/2020 14:19,53.705,0.03,5.407,0.047,1.543,0.827,35.11,5.143
user_669,machine_1,2/24/2020 22:06,15.84,0.03,,0.032,1.567,1.03,3.913,5.817
user_359,machine_19,2/22/2020 0:07,29.47,0.034,,0.031,1.693,0.303,9.853,5.723
user_412,machine_19,2/25/2020 15:12,24.2,0.033,6.88,0.031,1.647,0.21,2.683,10.137
user_564,machine_22,02-09-2020 10:13,21.082,0.053,,0.031,1.407,0.267,1.764,10.803
user_518,machine_24,02-03-2020 11:41,18.432,0.02,,0.031,1.44,0.91,4.617,6.546
user_396,machine_4,02-05-2020 00:00,41.439,0.013,4.976,0.047,1.68,0.237,19.997,10.363
user_448,machine_16,02-04-2020 07:32,19.853,0.02,,0.032,1.747,0.27,5.327,6.82
user_449,machine_17,02-07-2020 11:01,32.916,0.08,7.226,0.032,1.55,0.17,4.703,10.267
user_347,machine_5,2/27/2020 21:35,19.446,0.034,,0.032,1.48,1.286,6.647,6.356
user_325,machine_6,2/16/2020 20:54,28.906,0.109,,0.047,2.17,1.013,4.593,17.597
user_401,machine_6,2/17/2020 18:49,46.284,0.03,,0.046,2.257,1.776,20.553,18.374
user_647,machine_19,03-02-2020 10:55,29.917,0.063,,0.031,1.62,0.756,15.29,7.114
user_118,machine_4,2/25/2020 7:34,8.888,0.13,3.554,0.047,,0.207,,
user_485,machine_6,02-11-2020 01:36,41.473,0.02,,0.047,1.597,0.656,25.897,7.607
user_201,machine_7,02-06-2020 20:25,22.354,0.017,,0.094,1.717,1.21,8.89,6.053
user_33,machine_18,03-02-2020 13:06,35.4,0.034,3.63,0.031,2.474,1.997,7.167,13.93
user_626,machine_15,2/29/2020 0:57,23.873,0.02,,0.031,1.416,0.263,3.6,8.67
